scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,g5,g6,averageTrueBenefit,averageObservedBenefit
649,interaction,weak,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.19,-0.19,-0.19,-0.19,0.096,0.096
650,interaction,weak,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.19,-0.19,-0.19,-0.19,0.096,0.07200000000000001
651,interaction,weak,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.19,-0.19,-0.19,-0.19,0.096,0.048
652,interaction,weak,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.19,-0.19,-0.19,-0.19,0.096,0.12
653,interaction,mixed,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.19,-0.49,-0.19,-0.49,0.104,0.104
654,interaction,mixed,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.19,-0.49,-0.19,-0.49,0.104,0.078
655,interaction,mixed,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.19,-0.49,-0.19,-0.49,0.104,0.052
656,interaction,mixed,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.19,-0.49,-0.19,-0.49,0.104,0.13
657,interaction,strong,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.49,-0.49,-0.49,-0.49,0.111,0.111
658,interaction,strong,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.49,-0.49,-0.49,-0.49,0.111,0.08325
659,interaction,strong,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.49,-0.49,-0.49,-0.49,0.111,0.0555
660,interaction,strong,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.49,-0.49,-0.49,-0.49,0.111,0.13875
661,interaction,negative-weak,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.16,0.16,0.16,0.16,0.061,0.061
662,interaction,negative-weak,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.16,0.16,0.16,0.16,0.061,0.04575
663,interaction,negative-weak,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.16,0.16,0.16,0.16,0.061,0.0305
664,interaction,negative-weak,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.16,0.16,0.16,0.16,0.061,0.07625
665,interaction,negative-mixed,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.16,0.33,0.16,0.33,0.05,0.05
666,interaction,negative-mixed,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.16,0.33,0.16,0.33,0.05,0.037500000000000006
667,interaction,negative-mixed,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.16,0.33,0.16,0.33,0.05,0.025
668,interaction,negative-mixed,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.16,0.33,0.16,0.33,0.05,0.0625
669,interaction,negative-strong,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.33,0.33,0.33,0.33,0.039,0.039
670,interaction,negative-strong,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.33,0.33,0.33,0.33,0.039,0.029249999999999998
671,interaction,negative-strong,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.33,0.33,0.33,0.33,0.039,0.0195
672,interaction,negative-strong,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,0.33,0.33,0.33,0.33,0.039,0.04875
673,interaction,combined,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.49,0.33,-0.49,0.33,0.076,0.076
674,interaction,combined,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.49,0.33,-0.49,0.33,0.076,0.056999999999999995
675,interaction,combined,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.49,0.33,-0.49,0.33,0.076,0.038
676,interaction,combined,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,-0.49,0.33,-0.49,0.33,0.076,0.095
